study_word	test_words	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	trials_2.thisRepN	trials_2.thisTrialN	trials_2.thisN	trials_2.thisIndex	thisRow.t	notes	trial.started	text.started	slider.started	trial.stopped	slider.response	slider.rt	test.started	text_2.started	textbox.started	test_3.started	mouse.started	test.stopped	textbox.text	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	mouse.clicked_name	participant	session	date	expName	psychopyVersion	frameRate	expStart
	_oo_					0	0	0	2	7.7241762								7.6717366	7.7241762	7.7241762	7.7241762	0.0321415	15.3063937	"book
"	[0.07552083333333333]	[-0.3059895833333333]	[1]	[0]	[0]	[7.626260800054297]	['test_3']	276886	1	2023-10-04_12h30.16.534	experiment 5	2023.2.1	59.53844602	2023-10-04 12h30.33.167369 +0530
	_ea_o_					0	1	1	5	15.3561497								15.3091892	15.3561497	15.3561497	15.3561497	0.0066998	25.333653	peain	[]	[]	[]	[]	[]	[]	[]	276886	1	2023-10-04_12h30.16.534	experiment 5	2023.2.1	59.53844602	2023-10-04 12h30.33.167369 +0530
	c_m_r_					0	2	2	6	25.3863412								25.335791	25.3863412	25.3863412	25.3863412	0.0381983	31.203738	camera	[0.005208333333333333]	[-0.28515625]	[1]	[0]	[0]	[5.8554339001420885]	['test_3']	276886	1	2023-10-04_12h30.16.534	experiment 5	2023.2.1	59.53844602	2023-10-04 12h30.33.167369 +0530
	c_s_h_o_n					0	3	3	3	31.250728								31.2060269	31.250728	31.250728	31.250728	0.0095294	37.819545	cushion	[0.07291666666666667]	[-0.3072916666666667]	[1]	[0]	[0]	[6.603242400102317]	['test_3']	276886	1	2023-10-04_12h30.16.534	experiment 5	2023.2.1	59.53844602	2023-10-04 12h30.33.167369 +0530
	_ia_n_					0	4	4	4	37.8672805								37.82182	37.8672805	37.8672805	37.8672805	0.0089753	44.7240092	piano	[0.09505208333333333]	[-0.3059895833333333]	[1]	[0]	[0]	[6.892162100179121]	['test_3']	276886	1	2023-10-04_12h30.16.534	experiment 5	2023.2.1	59.53844602	2023-10-04 12h30.33.167369 +0530
	t_g_r					0	5	5	1	44.7701105								44.7272174	44.7701105	44.7701105	44.7701105	0.014172	48.3064228	tiger	[0.020833333333333332]	[-0.3020833333333333]	[1]	[0]	[0]	[3.5643738000653684]	['test_3']	276886	1	2023-10-04_12h30.16.534	experiment 5	2023.2.1	59.53844602	2023-10-04 12h30.33.167369 +0530
	_p_a_d_					0	6	6	7	48.3702536								48.3096813	48.3702536	48.3702536	48.3702536	0.0176586	58.3306661		[]	[]	[]	[]	[]	[]	[]	276886	1	2023-10-04_12h30.16.534	experiment 5	2023.2.1	59.53844602	2023-10-04 12h30.33.167369 +0530
	_o_s_					0	7	7	8	58.3801508								58.3333908	58.3801508	58.3801508	58.3801508	0.032638	68.3211902		[0.4505208333333333]	[-0.2630208333333333]	[1]	[0]	[0]	[3.244400499854237]	[]	276886	1	2023-10-04_12h30.16.534	experiment 5	2023.2.1	59.53844602	2023-10-04 12h30.33.167369 +0530
	o_a_n_e					0	8	8	9	68.3529725								68.3234593	68.3529725	68.3529725	68.3529725	0.0193938	73.4125739	orange	[0.07421875]	[-0.30859375]	[1]	[0]	[0]	[5.082930800039321]	['test_3']	276886	1	2023-10-04_12h30.16.534	experiment 5	2023.2.1	59.53844602	2023-10-04 12h30.33.167369 +0530
	_a_e					0	9	9	0	73.4603766								73.4148169	73.4603766	73.4603766	73.4603766	0.007518	77.7040543	vase	"[-0.057291666666666664, -0.036458333333333336]"	"[-0.2669270833333333, -0.2942708333333333]"	"[1, 1]"	"[0, 0]"	"[0, 0]"	"[3.4071245999075472, 4.2807818998117]"	['test_3']	276886	1	2023-10-04_12h30.16.534	experiment 5	2023.2.1	59.53844602	2023-10-04 12h30.33.167369 +0530
