trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_Distractor,Fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,19.59134590000008,19.59134590000008,0.03293170000006285,[-0.16111111111111112],[-0.1537037037037037],[1],[0],[0],[1.4536232000000382],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
1,0,1,0,5,21.04698670000016,21.04698670000016,0.013857200000074954,[-0.29259259259259257],[0.4009259259259259],[1],[0],[0],[1.5550976999998056],[],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
2,0,2,0,5,22.641233199999988,22.641233199999988,0.013010699999995268,[0.30092592592592593],[-0.14907407407407408],[1],[0],[0],[2.053428199999871],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
3,0,3,0,5,24.709630500000003,24.709630500000003,0.011394500000051266,[-0.36574074074074076],[0.17592592592592593],[1],[0],[0],[1.8469703999999183],[],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
4,0,4,0,10,26.595698600000105,26.595698600000105,0.026277799999888884,[0.04259259259259259],[0.4074074074074074],[1],[0],[0],[1.5966869000001225],[],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
5,0,5,0,10,28.215924900000118,28.215924900000118,0.02327730000001793,[0.45185185185185184],[0.4083333333333333],[1],[0],[0],[1.6352513000001636],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
6,0,6,0,10,29.87655790000008,29.87655790000008,0.023780600000009144,[0.010185185185185186],[0.09074074074074075],[1],[0],[0],[1.5196792999997797],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
7,0,7,0,10,31.424967800000104,31.424967800000104,0.024610800000118616,[-0.14537037037037037],[0.3861111111111111],[1],[0],[0],[1.7338634000000184],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
8,0,8,0,10,33.19945310000003,33.19945310000003,0.03168550000009418,[-0.21481481481481482],[0.027777777777777776],[1],[0],[0],[1.6611531999999443],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
9,0,9,0,5,34.8836146000001,34.8836146000001,0.023599200000035125,[-0.28055555555555556],[-0.16666666666666666],[1],[0],[0],[2.09962100000007],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
10,0,10,0,5,36.99532440000007,36.99532440000007,0.013211800000135554,[-0.3814814814814815],[-0.17685185185185184],[1],[0],[0],[1.7102262999999311],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
11,0,11,0,5,38.73474370000008,38.73474370000008,0.018540799999982482,[0.15925925925925927],[0.11388888888888889],[1],[0],[0],[1.8720815000001494],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
12,0,12,0,10,40.67125010000018,40.67125010000018,0.04655189999994036,[0.4759259259259259],[0.09166666666666666],[1],[0],[0],[1.4429669999999533],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
13,0,13,0,10,42.16573500000004,42.16573500000004,0.0457538000000568,[-0.12777777777777777],[-0.4287037037037037],[1],[0],[0],[2.1943184000001565],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
14,0,14,0,5,44.35674670000003,44.35674670000003,0.012603899999930945,[0.15648148148148147],[0.23703703703703705],[1],[0],[0],[1.9614475000000766],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
15,0,15,0,10,46.35127650000004,46.35127650000004,0.024876299999959883,[-0.42685185185185187],[0.3814814814814815],[1],[0],[0],[2.0468667000000096],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
16,0,16,0,5,48.4105962000001,48.4105962000001,0.01136129999986224,[-0.06018518518518518],[0.019444444444444445],[1],[0],[0],[2.362752999999884],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
17,0,17,0,5,50.7867718,50.7867718,0.0116293000000951,[0.08888888888888889],[-0.21666666666666667],[1],[0],[0],[1.9136874000000716],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
18,0,18,0,10,52.73782290000008,52.73782290000008,0.02313589999994292,[-0.3416666666666667],[-0.012037037037037037],[1],[0],[0],[1.7510572000001048],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
19,0,19,0,10,54.512929800000165,54.512929800000165,0.021852699999953984,[-0.2611111111111111],[0.26851851851851855],[1],[0],[0],[1.4203273000000536],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
20,0,20,0,10,55.96116600000005,55.96116600000005,0.024475100000017846,[-0.34444444444444444],[0.032407407407407406],[1],[0],[0],[1.5963690000000952],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
21,0,21,0,5,57.56920009999999,57.56920009999999,0.012353400000165493,[0.4148148148148148],[0.05925925925925926],[1],[0],[0],[2.3446126999999706],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
22,0,22,0,5,59.929636500000015,59.929636500000015,0.011518399999886242,[0.425],[-0.362962962962963],[1],[0],[0],[2.2462622000000465],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
23,0,23,0,10,62.2521127,62.2521127,0.053057899999885194,[-0.19074074074074074],[0.4675925925925926],[1],[0],[0],[2.216703599999846],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
24,0,24,0,5,64.46684760000016,64.46684760000016,0.011620099999845479,[0.22685185185185186],[-0.21666666666666667],[1],[0],[0],[2.096510500000022],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
25,0,25,0,10,66.5942077000002,66.5942077000002,0.02382590000001983,[0.4185185185185185],[-0.36666666666666664],[1],[0],[0],[1.6012507000000369],[],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
26,0,26,0,10,68.23144539999998,68.23144539999998,0.023014399999965462,[0.5009259259259259],[-0.4564814814814815],[1],[0],[0],[2.3846452000000227],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
27,0,27,0,10,70.63119610000012,70.63119610000012,0.023235200000044642,[0.27037037037037037],[0.24166666666666667],[1],[0],[0],[1.9685925999999654],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
28,0,28,0,5,72.61257260000002,72.61257260000002,0.014085900000054608,[-0.24444444444444444],[0.1259259259259259],[1],[0],[0],[1.762047500000108],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
29,0,29,0,5,74.38947940000003,74.38947940000003,0.011553800000001502,[-0.1037037037037037],[0.4166666666666667],[1],[0],[0],[1.9297312000001057],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
30,0,30,0,10,76.35824470000011,76.35824470000011,0.02545079999981681,[0.06666666666666667],[0.16666666666666666],[1],[0],[0],[1.982451600000104],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
31,0,31,0,5,78.3493996000002,78.3493996000002,0.014150799999924857,[-0.19166666666666668],[-0.14814814814814814],[1],[0],[0],[2.2087664999999106],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
32,0,32,0,5,80.57706250000001,80.57706250000001,0.014077399999905538,[-0.08888888888888889],[0.21388888888888888],[1],[0],[0],[1.3622858000001088],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
33,0,33,0,5,81.95540950000009,81.95540950000009,0.012631899999860252,[-0.040740740740740744],[0.06851851851851852],[1],[0],[0],[1.8288426999999956],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
34,0,34,0,10,83.82015290000004,83.82015290000004,0.024651699999822085,[-0.4361111111111111],[0.1537037037037037],[1],[0],[0],[1.9837210000000596],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
35,0,35,0,5,85.8174749000002,85.8174749000002,0.011944500000026892,[-0.4064814814814815],[-0.03148148148148148],[1],[0],[0],[1.6294065000001865],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
36,0,36,0,10,87.47092459999999,87.47092459999999,0.023850600000059785,[0.2462962962962963],[0.2861111111111111],[1],[0],[0],[1.335899599999948],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
37,0,37,0,10,88.84017640000002,88.84017640000002,0.022181499999987864,[0.2675925925925926],[0.2490740740740741],[1],[0],[0],[1.570140199999969],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
38,0,38,0,5,90.41702040000018,90.41702040000018,0.014112400000158232,[-0.075],[-0.47314814814814815],[1],[0],[0],[2.2408136000001377],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
