stair.thisTrialN	stair.stepSize	stair.intensity	thisRow.t	notes	trial.started	fixation.started	grating.started	key_resp.started	fixation.stopped	grating.stopped	trial.stopped	corrAns	tilt	key_resp.corr	stair.response	key_resp.rt	participant	session	date	expName	psychopyVersion	frameRate	expStart
0	2	10	0.0426946		0.0250323	0.0426946	0.5463644	0.5463644	0.5618386	0.8466168	0.9499942	right	10	1	1	0.3990019	610144	1	2023-09-06_11h07.17.836	tutorial 1 sept 4	2023.2.1	59.42476813	2023-09-06 11h07.19.967416 +0530
1	1	8	0.9640017		0.9501076	0.9640017	1.4501001	1.4501001	1.4672078	1.7518679	2.3417178	left	-8	0	0	0.88521	610144	1	2023-09-06_11h07.17.836	tutorial 1 sept 4	2023.2.1	59.42476813	2023-09-06 11h07.19.967416 +0530
2	1	9	2.3570739		2.3418292	2.3570739	2.8415095	2.8415095	2.8582584	3.143084	4.503426	left	-9	0	0	1.6568336	610144	1	2023-09-06_11h07.17.836	tutorial 1 sept 4	2023.2.1	59.42476813	2023-09-06 11h07.19.967416 +0530
3	1	10	4.5192316		4.5036039	4.5192316	5.0040138	5.0040138	5.0207608	5.3055269	5.694195	right	10	1	1	0.6874721	610144	1	2023-09-06_11h07.17.836	tutorial 1 sept 4	2023.2.1	59.42476813	2023-09-06 11h07.19.967416 +0530
4	1	10	5.7078627		5.6943068	5.7078627	6.1941428	6.1941428	6.2109477	6.4958128	6.4969227	right	10	1	1	0.2943857	610144	1	2023-09-06_11h07.17.836	tutorial 1 sept 4	2023.2.1	59.42476813	2023-09-06 11h07.19.967416 +0530
5	1	10	6.5125516		6.497021	6.5125516	6.9991254	6.9991254	7.0314779	7.3011411	7.8230378	left	-10	0	0	0.806095	610144	1	2023-09-06_11h07.17.836	tutorial 1 sept 4	2023.2.1	59.42476813	2023-09-06 11h07.19.967416 +0530
6	1	11	7.8377736		7.8232673	7.8377736	8.3241367	8.3241367	8.3405624		8.3764083	right	11	1	1	0.0482799	610144	1	2023-09-06_11h07.17.836	tutorial 1 sept 4	2023.2.1	59.42476813	2023-09-06 11h07.19.967416 +0530
7	1	11	8.3909099		8.37651	8.3909099	8.8767268	8.8767268	8.8942856		8.9654966	right	11	1	1	0.0827631	610144	1	2023-09-06_11h07.17.836	tutorial 1 sept 4	2023.2.1	59.42476813	2023-09-06 11h07.19.967416 +0530
8	1	11	8.9806462		8.9655997	8.9806462	9.480797	9.480797	9.480797		9.5504991	right	11	1	1	0.0672091	610144	1	2023-09-06_11h07.17.836	tutorial 1 sept 4	2023.2.1	59.42476813	2023-09-06 11h07.19.967416 +0530
9	1	10	9.5643961		9.5506089	9.5643961	10.0506146	10.0506146	10.0674529		10.10329	right	10	1	1	0.0428925	610144	1	2023-09-06_11h07.17.836	tutorial 1 sept 4	2023.2.1	59.42476813	2023-09-06 11h07.19.967416 +0530
