study_word,test_words,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,test_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
vase,,0,0,0,0,,,,,0.2461247998289764,,0.1751808999106288,0.2461247998289764,0.2461247998289764,2.756152000045404,3.3125,2.5315228002145886,,,,,,,,,,,,,,,922287,001,2023-10-04_11h11.42.925,experiment 5,2023.2.1,58.99402212661889,2023-10-04 11h11.59.442706 +0530,
piano,,0,1,1,4,,,,,2.818372899899259,,2.7593214998487383,2.818372899899259,2.818372899899259,4.782350699882954,2.619791666666667,1.9703432000242174,,,,,,,,,,,,,,,922287,001,2023-10-04_11h11.42.925,experiment 5,2023.2.1,58.99402212661889,2023-10-04 11h11.59.442706 +0530,
tiger,,0,2,2,1,,,,,4.82572630001232,,4.782939199823886,4.82572630001232,4.82572630001232,6.34559839987196,2.28125,1.4958476999308914,,,,,,,,,,,,,,,922287,001,2023-10-04_11h11.42.925,experiment 5,2023.2.1,58.99402212661889,2023-10-04 11h11.59.442706 +0530,
cushion,,0,3,3,3,,,,,6.450079999864101,,6.346741099841893,6.450079999864101,6.450079999864101,8.956543399952352,1.8802083333333333,2.528546500019729,,,,,,,,,,,,,,,922287,001,2023-10-04_11h11.42.925,experiment 5,2023.2.1,58.99402212661889,2023-10-04 11h11.59.442706 +0530,
book,,0,4,4,2,,,,,8.999762000050396,,8.95712299994193,8.999762000050396,8.999762000050396,10.683134200051427,1.6458333333333333,1.6798437000252306,,,,,,,,,,,,,,,922287,001,2023-10-04_11h11.42.925,experiment 5,2023.2.1,58.99402212661889,2023-10-04 11h11.59.442706 +0530,
,_ea_o_,,,,,0,0,0,5,10.743385900044814,,,,,,,,10.711096199927852,10.743385900044814,10.743385900044814,10.743385900044814,0.03455869993194938,17.927503099897876,PEAGON,[0.013020833333333334],[-0.3072916666666667],[1],[0],[0],[7.2077368998434395],['test_3'],922287,001,2023-10-04_11h11.42.925,experiment 5,2023.2.1,58.99402212661889,2023-10-04 11h11.59.442706 +0530,
,t_g_r,,,,,0,1,1,1,17.98849739995785,,,,,,,,17.934090099995956,17.98849739995785,17.98849739995785,17.98849739995785,0.014105899957939982,22.083638299955055,TIGER,[0.006510416666666667],[-0.29296875],[1],[0],[0],[4.135421700077131],['test_3'],922287,001,2023-10-04_11h11.42.925,experiment 5,2023.2.1,58.99402212661889,2023-10-04 11h11.59.442706 +0530,
,c_s_h_o_n,,,,,0,2,2,3,22.13148139999248,,,,,,,,22.085951199987903,22.13148139999248,22.13148139999248,22.13148139999248,0.00954160001128912,26.663930400041863,CUSHION,[0.026041666666666668],[-0.30078125],[1],[0],[0],[4.567538000177592],['test_3'],922287,001,2023-10-04_11h11.42.925,experiment 5,2023.2.1,58.99402212661889,2023-10-04 11h11.59.442706 +0530,
,_ia_n_,,,,,0,3,3,4,26.71082179993391,,,,,,,,26.667461599921808,26.71082179993391,26.71082179993391,26.71082179993391,0.008779800031334162,31.22128039994277,PIANO,[0.026041666666666668],[-0.296875],[1],[0],[0],[4.544297399930656],['test_3'],922287,001,2023-10-04_11h11.42.925,experiment 5,2023.2.1,58.99402212661889,2023-10-04 11h11.59.442706 +0530,
,_oo_,,,,,0,4,4,2,31.268951899837703,,,,,,,,31.22365859989077,31.268951899837703,31.268951899837703,31.268951899837703,0.007645200006663799,35.06078549986705,BOOK,[-0.022135416666666668],[-0.2994791666666667],[1],[0],[0],[3.8285217001102865],['test_3'],922287,001,2023-10-04_11h11.42.925,experiment 5,2023.2.1,58.99402212661889,2023-10-04 11h11.59.442706 +0530,
,_o_s_,,,,,0,5,5,8,35.10840049991384,,,,,,,,35.06316799996421,35.10840049991384,35.10840049991384,35.10840049991384,0.009413199964910746,45.08493510005064,ROSES,[],[],[],[],[],[],[],922287,001,2023-10-04_11h11.42.925,experiment 5,2023.2.1,58.99402212661889,2023-10-04 11h11.59.442706 +0530,
,_a_e,,,,,0,6,6,0,45.13435920001939,,,,,,,,45.087176400003955,45.13435920001939,45.13435920001939,45.13435920001939,0.03335659997537732,45.136438499903306,,[0.0013020833333333333],[-0.3098958333333333],[1],[0],[0],[0.039212599862366915],['test_3'],922287,001,2023-10-04_11h11.42.925,experiment 5,2023.2.1,58.99402212661889,2023-10-04 11h11.59.442706 +0530,
,c_m_r_,,,,,0,7,7,6,45.18482089997269,,,,,,,,45.139086900046095,45.18482089997269,45.18482089997269,45.18482089997269,0.009739100001752377,51.95559609984048,CAMERA,[0.014322916666666666],[-0.2942708333333333],[1],[0],[0],[6.805924499873072],['test_3'],922287,001,2023-10-04_11h11.42.925,experiment 5,2023.2.1,58.99402212661889,2023-10-04 11h11.59.442706 +0530,
,o_a_n_e,,,,,0,8,8,9,52.00348769989796,,,,,,,,51.95864349999465,52.00348769989796,52.00348769989796,52.00348769989796,0.01245140004903078,57.12097769998945,ORANGE,[0.014322916666666666],[-0.2942708333333333],[1],[0],[0],[5.149111799895763],['test_3'],922287,001,2023-10-04_11h11.42.925,experiment 5,2023.2.1,58.99402212661889,2023-10-04 11h11.59.442706 +0530,
,_p_a_d_,,,,,0,9,9,7,57.16809970000759,,,,,,,,57.123332699993625,57.16809970000759,57.16809970000759,57.16809970000759,0.01327189989387989,67.15559209999628,,[],[],[],[],[],[],[],922287,001,2023-10-04_11h11.42.925,experiment 5,2023.2.1,58.99402212661889,2023-10-04 11h11.59.442706 +0530,
