study_word,test_words,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,text.stopped,test.started,text_2.started,textbox.started,test_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
cushion,,0,0,0,3,,,,,0.5964869998861104,,0.49474660004489124,0.5964869998861104,0.5964869998861104,3.201038599945605,2.0052083333333335,2.654689099872485,,,,,,,,,,,,,,,,Riya,001,2023-10-04_12h24.52.916,experiment 5,2023.2.1,59.75968240599484,2023-10-04 12h25.45.703311 +0530,
vase,,0,1,1,0,,,,,3.2604604999069124,,3.2021420998498797,3.2604604999069124,3.2604604999069124,4.136770399985835,2.0052083333333335,0.8765074000693858,,,,,,,,,,,,,,,,Riya,001,2023-10-04_12h24.52.916,experiment 5,2023.2.1,59.75968240599484,2023-10-04 12h25.45.703311 +0530,
book,,0,2,2,2,,,,,4.214125199941918,,4.137350599979982,4.214125199941918,4.214125199941918,4.925660599954426,2.0052083333333335,0.7332979999482632,,,,,,,,,,,,,,,,Riya,001,2023-10-04_12h24.52.916,experiment 5,2023.2.1,59.75968240599484,2023-10-04 12h25.45.703311 +0530,
piano,,0,3,3,4,,,,,4.968240899965167,,4.92623439989984,4.968240899965167,4.968240899965167,13.242242600070313,2.0052083333333335,8.265573799842969,12.984503699932247,,,,,,,,,,,,,,,Riya,001,2023-10-04_12h24.52.916,experiment 5,2023.2.1,59.75968240599484,2023-10-04 12h25.45.703311 +0530,
tiger,,0,4,4,1,,,,,13.302335599903017,,13.243033699924126,13.302335599903017,13.302335599903017,14.112256499938667,2.0052083333333335,0.8171884999610484,,,,,,,,,,,,,,,,Riya,001,2023-10-04_12h24.52.916,experiment 5,2023.2.1,59.75968240599484,2023-10-04 12h25.45.703311 +0530,
,c_s_h_o_n,,,,,0,0,0,3,14.18780849990435,,,,,,,,,14.147637499962002,14.18780849990435,14.18780849990435,14.18780849990435,0.04235640005208552,24.123099899850786,Cushion,[],[],[],[],[],[],[],Riya,001,2023-10-04_12h24.52.916,experiment 5,2023.2.1,59.75968240599484,2023-10-04 12h25.45.703311 +0530,
,_oo_,,,,,0,1,1,2,24.17444709991105,,,,,,,,,24.128240499878302,24.17444709991105,24.17444709991105,24.17444709991105,0.02549250004813075,24.545592499896884,,[-0.0078125],[-0.3190104166666667],[1],[0],[0],[0.40633099991828203],['test_3'],Riya,001,2023-10-04_12h24.52.916,experiment 5,2023.2.1,59.75968240599484,2023-10-04 12h25.45.703311 +0530,
,t_g_r,,,,,0,2,2,1,24.592542300000787,,,,,,,,,24.548248799983412,24.592542300000787,24.592542300000787,24.592542300000787,0.010142700048163533,34.02209009998478,Tiger,[0.02734375],[-0.3072916666666667],[1],[0],[0],[9.463338299887255],['test_3'],Riya,001,2023-10-04_12h24.52.916,experiment 5,2023.2.1,59.75968240599484,2023-10-04 12h25.45.703311 +0530,
,c_m_r_,,,,,0,3,3,6,34.05342880007811,,,,,,,,,34.02340699988417,34.05342880007811,34.05342880007811,34.05342880007811,0.005365299992263317,42.24989370000549,camera,[0.049479166666666664],[-0.2916666666666667],[1],[0],[0],[8.220150100067258],['test_3'],Riya,001,2023-10-04_12h24.52.916,experiment 5,2023.2.1,59.75968240599484,2023-10-04 12h25.45.703311 +0530,
,_a_e,,,,,0,4,4,0,42.297402600059286,,,,,,,,,42.25286339991726,42.297402600059286,42.297402600059286,42.297402600059286,0.007117499830201268,52.26131909992546,Va,[],[],[],[],[],[],[],Riya,001,2023-10-04_12h24.52.916,experiment 5,2023.2.1,59.75968240599484,2023-10-04 12h25.45.703311 +0530,
